location,Date,level_B1,level_B2,level_DO,level_NH3,level_Pb,level_SO4,level_TOC
X,2016-02-06,99.357336,200.44476,10.91597,0.08557654,3.582608,74.51759,4
X,2016-02-07,53.909235,154.643457,6.640108,0.09376256,7.128187,151.2081,6
X,2016-02-08,182.224125,188.904286,11.5503,0.07897,3.015845,4.593996,1
X,2016-02-09,197.663608,199.362225,7.984921,0.08283433,8.281416,7.487678,10
X,2016-02-10,124.89802,146.583007,7.515538,0.09543301,5.015801,5.234627,6
X,2016-02-11,103.105667,151.070942,8.677202,0.07991714,4.956306,41.51099,3
X,2016-02-12,89.785179,127.690991,9.005868,0.09231646,8.00113,90.97833,4
X,2016-02-13,189.755863,144.143716,9.49927,0.09303864,5.213869,9.356332,5
X,2016-02-14,136.970871,111.411058,8.764059,0.1009753,6.236791,5.080816,7
X,2016-02-15,180.144862,164.132053,11.38895,0.09783088,6.943207,85.79025,5
X,2016-02-16,139.49633,183.644471,9.238567,0.08034933,5.741918,0.4180287,9
X,2016-02-17,124.384913,148.027682,9.027669,0.1018516,5.30369,116.7818,4
X,2016-02-18,167.501247,119.627252,7.958665,0.0818432,6.525687,12.82934,6
X,2016-02-19,187.604392,138.559355,9.270692,0.08580634,3.81586,13.25604,4
X,2016-02-20,118.023309,137.968864,8.639803,0.106414,4.315934,15.14893,8
X,2016-02-21,108.526642,151.996278,8.004317,0.08920189,4.566546,188.7008,6
X,2016-02-22,134.764737,131.75872,10.45109,0.08849955,5.946048,71.09755,5
X,2016-02-23,111.866978,181.279281,7.07847,0.0829238,3.775996,26.00456,6
X,2016-02-24,105.681586,52.489859,9.512282,0.1002654,3.983879,115.4554,5
X,2016-02-25,131.298044,210.67578,7.463063,0.07532631,5.50181,92.69779,5
X,2016-02-26,92.485992,120.47747,7.18651,0.1057519,5.773109,49.68201,4
X,2016-02-27,79.528,134.473624,10.26027,0.09114731,6.30432,11.66401,7
X,2016-02-28,119.118305,197.030247,8.84154,0.08182097,5.922353,44.37261,4
X,2016-02-29,110.122481,120.862738,11.34258,0.08641617,3.00545,171.4589,7
X,2016-03-01,174.904149,167.789073,7.37503,0.1014651,5.626783,48.77175,4
X,2016-03-02,122.284276,211.53284,10.07203,0.08118812,5.838842,7.355227,6
X,2016-03-03,138.496187,177.99233,9.050697,0.08522468,4.307704,213.4047,4
X,2016-03-04,212.611326,110.406435,9.217072,0.1126349,3.492719,93.16683,7
X,2016-03-05,95.630696,129.731196,7.80903,0.07280044,5.140298,13.79091,3
X,2016-03-06,148.043226,71.195948,9.899266,0.1003513,8.308465,9.140389,6
X,2016-03-07,158.533549,126.702118,10.91714,0.1104495,3.990634,3.549697,10
X,2016-03-08,148.26127,168.760538,10.36143,0.09986656,3.287746,28.2134,10
X,2016-03-09,84.557134,142.683376,8.871287,0.08654219,5.641581,0.2858163,10
X,2016-03-10,118.041692,171.956544,8.335128,0.0751489,7.091821,25.97126,6
X,2016-03-11,99.802765,162.618631,8.288598,0.0886717,3.764224,30.58206,7
X,2016-03-12,149.016454,139.026158,9.235735,0.09199564,5.274771,3.305587,8
X,2016-03-13,118.84726,72.188677,8.909475,0.08603924,7.123143,49.99853,4
X,2016-03-14,148.556246,174.093325,9.634337,0.07609649,8.532477,25.61456,4
X,2016-03-15,145.34129,145.305454,9.063055,0.0857511,5.555728,16.53632,6
X,2016-03-16,134.910824,132.30273,6.821482,0.08296709,5.83468,18.25815,4
X,2016-03-17,111.722291,135.079122,10.25784,0.09362674,4.226709,16.94954,7
X,2016-03-18,105.324305,124.081099,8.322122,0.1106271,4.030955,55.85918,9
X,2016-03-19,87.438849,71.291452,9.721899,0.1004137,5.928805,19.80868,4
X,2016-03-20,110.765617,161.021107,9.386945,0.08652912,5.06436,115.6917,5
X,2016-03-21,160.248455,65.735619,9.508122,0.1034766,8.211586,47.17162,6
X,2016-03-22,163.079869,96.860609,10.64094,0.08124792,4.983943,46.60656,4
X,2016-03-23,150.095436,161.104384,10.96789,0.08836756,7.198071,28.95315,7
X,2016-03-24,181.335847,140.550766,8.306034,0.08458166,8.01539,1.519081,10
X,2016-03-25,83.707618,187.790901,8.983449,0.08437207,8.701938,42.15233,6
X,2016-03-26,130.022131,166.753137,9.781796,0.07752208,8.586355,22.01834,4
X,2016-03-27,112.29078,144.726079,9.616908,0.09111865,6.236086,16.56848,4
X,2016-03-28,106.73659,99.642218,9.557329,0.08604182,8.073596,5.598552,4
X,2016-03-29,80.595849,152.667112,8.60216,0.0998678,4.125694,20.53835,10
X,2016-03-30,142.540958,113.013933,8.362734,0.07266434,4.102962,70.58229,3
X,2016-03-31,102.672212,92.547663,9.376448,0.08729478,4.826217,37.73918,6
X,2016-04-01,164.025958,185.380261,10.75419,0.07636266,5.983069,14.46627,6
X,2016-04-02,154.154963,191.571665,10.35672,0.07832029,7.044851,30.49584,3
X,2016-04-03,110.727407,144.801145,8.098342,0.08781891,3.304555,169.391,5
X,2016-04-04,104.681898,171.546538,9.77117,0.08599681,8.534685,85.44152,2
X,2016-04-05,158.677508,159.409888,10.9613,0.1003998,8.904553,357.1498,8
X,2016-04-06,137.424033,182.255662,10.40409,0.08293344,7.310968,62.28072,5
X,2016-04-07,110.656197,75.626996,8.561561,0.1050757,5.407674,14.89809,8
X,2016-04-08,124.002181,165.699123,8.606521,0.09328666,3.021124,14.44626,5
X,2016-04-09,130.855714,171.907555,9.44591,0.09201993,3.30077,47.73497,10
X,2016-04-10,176.470545,120.302446,7.636573,0.09616315,6.622975,57.42529,6
X,2016-04-11,148.268012,155.205458,9.059523,0.0973963,3.376144,28.15805,10
X,2016-04-12,111.290774,120.158281,7.955662,0.08296849,8.303209,93.54726,4
X,2016-04-13,135.335543,191.959766,10.87887,0.08388927,6.780723,91.70879,9
X,2016-04-14,145.252639,135.487876,10.38731,0.07863351,8.957802,169.5441,6
X,2016-04-15,150.176195,168.210328,9.257616,0.07660361,5.257235,20.45316,3
X,2016-04-16,122.975017,204.60143,8.97853,0.09175022,5.890487,31.78436,5
X,2016-04-17,150.484589,159.73319,9.947231,0.09347784,7.753181,69.00956,4
X,2016-04-18,179.680571,177.310982,10.48984,0.06641709,8.818846,30.60245,7
X,2016-04-19,199.509294,114.883529,10.0638,0.07631322,5.800499,31.09248,4
X,2016-04-20,113.915507,170.48801,11.15219,0.09160695,8.038401,195.4701,9
X,2016-04-21,83.527373,190.40561,7.020095,0.08658906,7.426616,79.96927,5
X,2016-04-22,189.767264,151.392613,10.84997,0.09083305,3.10652,37.32246,12
X,2016-04-23,165.413452,169.579104,9.994062,0.08309349,5.931909,0.1203223,5
X,2016-04-24,117.842568,121.951237,9.547939,0.1098992,6.525945,48.22864,8
X,2016-04-25,136.036602,61.63152,11.19051,0.09702731,3.999526,44.33645,8
X,2016-04-26,115.674833,220.136289,8.337169,0.08996966,7.624421,30.33085,10
X,2016-04-27,157.157712,179.477177,9.217611,0.08473079,8.950529,19.97133,4
X,2016-04-28,134.782296,201.61142,9.103617,0.0935945,4.614767,4.210676,7
X,2016-04-29,100.305096,200.455053,9.366036,0.110537,3.151938,16.6685,5
X,2016-04-30,127.683871,159.901949,8.311538,0.08664464,6.990517,150.2195,4
X,2016-05-01,88.432036,186.5628,10.30219,0.0860773,6.35271,62.16681,7
X,2016-05-02,182.963324,126.462688,8.930385,0.08447446,5.600274,50.67172,8
X,2016-05-03,95.413583,139.60975,9.339413,0.08681939,8.800012,22.44025,6
X,2016-05-04,67.617083,126.44124,9.231832,0.1003946,3.73971,26.67915,8
X,2016-05-05,141.37868,116.025018,9.416388,0.08749116,5.137028,0.8377158,9
X,2016-05-06,112.36181,113.933346,8.850496,0.1102222,4.377531,89.73066,8
X,2016-05-07,145.498604,166.246395,9.672487,0.08457066,3.28599,128.8953,7
X,2016-05-08,210.915328,169.07465,9.845602,0.07277756,4.296248,202.6373,8
X,2016-05-09,141.181479,194.554924,9.25983,0.08773055,7.336546,37.29504,2
X,2016-05-10,113.530199,162.925626,8.08224,0.09407517,7.048831,35.78157,4
X,2016-05-11,113.715569,136.382487,9.891352,0.09286318,3.828281,165.9451,4
X,2016-05-12,180.235781,176.4313,8.355804,0.08662532,6.936544,82.97131,4
X,2016-05-13,170.885657,143.691324,10.13205,0.08069256,7.342969,40.21113,10
X,2016-05-14,217.568749,146.339707,9.548818,0.09441708,6.420892,30.81245,7
X,2016-05-15,161.953974,179.782178,7.893826,0.08910793,7.96346,54.4044,7
X,2016-05-16,151.80927,200.856786,9.650262,0.07957769,8.820306,24.10327,7
X,2016-05-17,110.309282,123.95006,8.060783,0.0822511,7.685409,0.6348971,9
X,2016-05-18,96.997379,157.206377,9.455881,0.08643608,8.636455,49.23624,4
X,2016-05-19,137.257553,171.822802,8.997351,0.08930169,4.793688,51.79864,7
X,2016-05-20,185.412795,110.106488,7.725363,0.09391927,6.857627,27.12579,3
X,2016-05-21,169.304251,216.226497,10.00565,0.08073898,8.837789,64.11343,9
X,2016-05-22,111.119456,178.694217,6.994664,0.09501441,8.402318,236.833,3
X,2016-05-23,197.322389,195.655627,9.975471,0.08339702,4.819654,26.78505,9
X,2016-05-24,157.8069,98.252097,9.177637,0.09013253,8.240782,2.195673,2
X,2016-05-25,128.790109,106.194971,9.433067,0.09544319,8.203377,34.83842,6
X,2016-05-26,186.278666,191.263676,9.509285,0.07113602,8.313632,251.4563,5
X,2016-05-27,156.62207,202.938946,11.22211,0.06780376,7.259914,8.018881,9
X,2016-05-28,156.820441,134.527482,9.202254,0.09395894,6.258904,17.04388,4
X,2016-05-29,132.607385,94.252145,8.719,0.09103532,4.886742,136.8006,4
X,2016-05-30,123.88871,97.822499,8.457782,0.09851917,5.6877,44.4448,6
X,2016-05-31,129.555173,145.328534,9.390904,0.08329414,5.409606,57.67027,9
X,2016-06-01,96.854071,138.384938,6.43353,0.1059002,4.151398,24.98527,9
X,2016-06-02,204.731468,135.035607,9.84047,0.101442,7.955722,5.950191,10
X,2016-06-03,114.924927,180.367233,7.426113,0.09127419,3.307312,28.76796,7
X,2016-06-04,95.628562,106.218873,8.883547,0.08904213,8.901416,57.07431,2
X,2016-06-05,147.94142,169.415156,7.950901,0.06959631,7.292856,47.47424,11
X,2016-06-06,175.422117,186.949016,10.06279,0.09560494,5.774173,37.31629,4
X,2016-06-07,193.168415,158.386733,10.21649,0.09585516,7.629089,111.6786,1
X,2016-06-08,210.272367,176.742842,10.5796,0.09861444,7.47494,22.61615,4
X,2016-06-09,139.351699,187.528648,10.84638,0.08899334,4.819327,72.99139,7
X,2016-06-10,98.549856,193.405624,9.211508,0.07891051,3.453685,4.037788,9
X,2016-06-11,146.428544,136.868281,8.68414,0.08645379,3.711047,15.27993,7
X,2016-06-12,89.107129,116.351634,7.676792,0.08866987,6.320795,23.33403,10
X,2016-06-13,199.457065,87.209275,9.700235,0.09264382,3.949489,9.76296,5
X,2016-06-14,101.273046,63.127138,7.208356,0.1053413,3.76636,137.2713,9
X,2016-06-15,136.593491,235.689673,10.0729,0.09336846,7.231486,1.002505,5
X,2016-06-16,105.257932,177.027576,7.997458,0.08820203,4.122117,62.55102,7
X,2016-06-17,148.373499,152.490673,8.5999,0.08637344,5.215395,28.57831,3
X,2016-06-18,159.749801,161.381429,8.353223,0.08120625,6.735199,10.0067,4
X,2016-06-19,144.31982,179.528729,9.929843,0.1025816,5.506132,59.31552,5
X,2016-06-20,173.71955,158.517841,10.29927,0.08094223,8.422888,45.82273,6
X,2016-06-21,191.278641,203.085579,9.986848,0.09313631,7.687389,120.947,7
X,2016-06-22,202.400577,140.223328,9.584481,0.08810392,4.062822,29.16197,7
X,2016-06-23,146.835309,120.18528,10.88365,0.0947174,7.940463,86.62887,7
X,2016-06-24,127.399673,110.450933,8.256376,0.09217417,5.322388,37.88809,4
X,2016-06-25,164.415829,155.563577,8.000995,0.09019051,6.022512,40.45541,7
X,2016-06-26,120.054242,169.269073,8.74903,0.0900887,6.297558,26.18272,13
X,2016-06-27,129.330844,70.072092,9.047793,0.09907777,3.773218,40.91892,8
X,2016-06-28,201.293321,159.585446,7.829829,0.08291774,7.466278,48.59644,6
X,2016-06-29,89.550942,103.855579,11.39038,0.09240416,5.132593,62.77207,3
X,2016-06-30,93.385537,185.425845,9.099434,0.0788736,3.342057,16.30155,7
X,2016-07-01,83.702572,115.615918,8.377095,0.08511611,7.367912,68.28826,4
X,2016-07-02,186.489745,156.465624,10.06995,0.08137884,6.467406,1.322878,8
X,2016-07-03,113.170185,136.527523,7.874705,0.09219477,4.712621,0.5663263,3
X,2016-07-04,163.573424,151.212798,11.83413,0.09132453,6.637869,23.01732,6
X,2016-07-05,141.482102,143.720544,7.508683,0.1055848,4.850146,3.162684,6
X,2016-07-06,133.360472,145.071969,9.254503,0.09112456,8.408167,83.8946,8
X,2016-07-07,141.553665,129.496862,10.66886,0.09395005,5.47917,196.5414,4
X,2016-07-08,145.10074,162.563107,9.316984,0.07650402,5.665387,10.77742,3
X,2016-07-09,135.021815,218.911017,8.368217,0.07738162,5.237446,41.25231,4
X,2016-07-10,86.014768,169.119361,8.584257,0.08705238,7.443646,10.00608,5
X,2016-07-11,133.563573,183.846631,9.72726,0.07907773,3.179942,26.06402,7
X,2016-07-12,112.447716,197.602502,7.963411,0.09455064,5.778853,4.288201,6
X,2016-07-13,136.00857,156.252281,8.638449,0.08875318,7.580856,0.7236699,8
X,2016-07-14,126.397014,120.197772,9.515811,0.08245177,8.300427,95.27621,4
X,2016-07-15,161.802805,99.195482,9.600475,0.0784214,6.175811,35.41028,6
X,2016-07-16,185.628892,111.009801,9.60544,0.09803346,7.912941,5.868692,3
X,2016-07-17,55.689688,119.124358,8.464355,0.1146514,4.288568,132.6916,3
X,2016-07-18,93.143556,152.995892,9.919611,0.06733544,7.153234,29.80425,2
X,2016-07-19,119.571467,187.144432,7.187407,0.07015023,3.030141,6.39591,7
X,2016-07-20,148.097142,184.533698,8.772207,0.08542843,4.257985,27.63292,5
X,2016-07-21,172.168512,188.053351,10.97319,0.07886795,6.78914,22.18672,8
X,2016-07-22,61.765536,187.183189,9.87961,0.09850554,3.706497,80.97539,6
X,2016-07-23,163.996633,59.228953,8.143871,0.09914202,6.805041,219.2358,4
X,2016-07-24,124.672943,153.714331,9.37737,0.09375326,3.134753,8.388564,12
X,2016-07-25,110.08794,207.85092,7.731537,0.07817598,7.143272,36.97126,6
X,2016-07-26,201.873594,141.626272,10.82952,0.09093482,4.930728,244.1414,6
X,2016-07-27,177.305149,166.735569,8.093115,0.07981573,8.548788,40.84971,2
X,2016-07-28,123.79721,133.644666,7.519434,0.08662084,4.635487,18.00654,3
X,2016-07-29,152.357436,106.753727,9.412635,0.09310265,5.808066,124.4148,3
X,2016-07-30,157.23044,216.649,7.598934,0.09561903,7.765427,9.765975,3
X,2016-07-31,147.357535,131.064298,10.33293,0.09542624,3.808838,57.05159,7
X,2016-08-01,176.12931,128.518403,9.906603,0.1027218,4.818131,64.07905,6
X,2016-08-02,116.032837,187.968382,8.278326,0.08940453,7.897813,7.454348,12
X,2016-08-03,99.930924,120.413843,7.89991,0.1018456,3.73486,1.135497,5
X,2016-08-04,125.023638,115.858839,8.771534,0.1066683,5.93959,7.813414,5
X,2016-08-05,109.374669,145.412953,7.650635,0.0878491,5.799383,40.1912,9
X,2016-08-06,135.339726,128.916768,8.460988,0.100476,7.1689,18.80441,7
X,2016-08-07,120.490178,206.209367,8.328732,0.08758107,7.469262,89.2507,10
X,2016-08-08,99.073477,150.478934,6.618655,0.08855211,3.12455,19.41689,10
X,2016-08-09,176.037249,120.103214,7.355853,0.0973033,8.571312,62.32743,7
X,2016-08-10,135.260506,192.409399,8.802139,0.08960102,7.057031,63.24914,8
X,2016-08-11,132.756526,185.688016,7.922678,0.08435392,3.378627,121.2822,6
X,2016-08-12,155.856315,167.22047,7.708946,0.08907805,5.924173,27.45436,5
X,2016-08-13,129.223911,213.730808,8.629198,0.06911687,8.752933,17.79304,6
X,2016-08-14,169.711028,145.15137,9.478953,0.08362144,6.374401,107.7553,7
X,2016-08-15,222.435318,106.637374,11.40161,0.110028,5.199596,61.30388,8
X,2016-08-16,158.837633,128.342244,8.27012,0.0912423,7.83345,30.65556,6
X,2016-08-17,173.994075,97.660035,7.931147,0.09429663,5.174959,9.675159,7
X,2016-08-18,144.340306,161.987508,10.22642,0.08500368,4.699491,89.66667,6
X,2016-08-19,65.874408,166.866323,9.4546,0.08024479,8.55802,161.8098,2
X,2016-08-20,122.854079,181.414056,9.744259,0.09617914,4.100856,30.07477,6
X,2016-08-21,79.792179,99.344462,7.56692,0.09027011,4.722874,273.2283,4
X,2016-08-22,129.594678,91.295196,8.956414,0.09343607,8.355133,85.84187,5
X,2016-08-23,126.767223,183.412537,10.47631,0.08130223,4.080266,32.69193,8
X,2016-08-24,121.883649,220.337101,8.717167,0.09149804,5.024173,6.848849,2
X,2016-08-25,140.309359,190.842861,9.80405,0.0870158,8.888438,17.1984,2
X,2016-08-26,80.526742,169.029591,10.01102,0.0880414,6.797413,8.674474,7
X,2016-08-27,97.534895,142.000159,7.857247,0.08968019,4.445619,101.0731,5
X,2016-08-28,61.198704,192.709114,6.012472,0.08479921,7.293321,20.67301,6
X,2016-08-29,93.248037,127.84033,10.5167,0.1060246,8.771421,33.93348,3
X,2016-08-30,101.318807,143.097047,9.559592,0.09409486,6.446412,41.78735,3
X,2016-08-31,131.863168,183.883846,9.112328,0.1006048,5.210185,227.9643,2
X,2016-09-01,143.673724,170.512572,11.03193,0.08963762,7.439677,95.95679,8
X,2016-09-02,106.585146,173.098383,9.726313,0.1074278,7.295892,3.29497,7
X,2016-09-03,143.740721,150.853365,9.646086,0.09591666,3.504158,87.80624,7
X,2016-09-04,163.206415,135.138462,7.609115,0.08327297,5.429047,28.94503,9
X,2016-09-05,142.428346,120.505705,9.560445,0.07813683,4.325437,30.31197,9
X,2016-09-06,141.98562,156.666623,9.883805,0.08614199,7.659209,63.94252,4
X,2016-09-07,114.151835,141.662253,10.26341,0.1066635,7.100843,79.60253,7
X,2016-09-08,101.964748,175.869648,8.158043,0.09820793,5.73276,2.343637,2
X,2016-09-09,144.62714,157.109141,8.655018,0.1077746,5.07989,39.53545,3
X,2016-09-10,148.871522,160.70278,8.015009,0.09818355,5.169217,51.44783,5
X,2016-09-11,157.500559,127.192907,9.102333,0.08516749,6.396245,34.12411,6
X,2016-09-12,151.138594,212.129458,10.05973,0.08456437,6.245829,7.048652,9
X,2016-09-13,177.49234,191.953561,9.836118,0.08043812,7.123383,49.22755,11
X,2016-09-14,177.283395,182.000404,9.561408,0.09329797,3.506675,20.08687,6
X,2016-09-15,179.372766,160.997668,9.673285,0.07536177,6.224258,12.99553,5
X,2016-09-16,117.530318,143.170305,8.322635,0.08578498,5.067187,35.22234,7
X,2016-09-17,102.078904,106.322282,7.911687,0.09173502,3.434934,13.68721,6
X,2016-09-18,126.70009,127.489614,8.901314,0.10609,8.7262,0.09654387,11
X,2016-09-19,118.651433,146.650504,9.902277,0.07992831,4.428645,18.8307,8
X,2016-09-20,101.977098,37.217623,7.943965,0.12313,3.549999,70.15451,5
X,2016-09-21,102.468779,235.059125,8.882769,0.07675909,5.039347,68.74042,8
X,2016-09-22,174.198776,120.730027,10.34118,0.09358735,3.887212,88.41057,12
X,2016-09-23,139.469695,130.743227,8.83769,0.07192922,6.96332,11.81352,9
X,2016-09-24,97.031573,146.193106,9.95036,0.09041532,5.314366,166.4322,5
X,2016-09-25,182.655123,196.448517,8.473709,0.07947122,5.049193,18.53402,6
X,2016-09-26,194.495361,152.404908,10.02661,0.0834252,5.564937,243.5182,9
X,2016-09-27,142.933321,164.33609,10.23122,0.07375737,6.411354,9.714819,4
X,2016-09-28,156.552536,119.827018,8.636361,0.1014669,5.914538,22.31631,3
X,2016-09-29,155.511856,183.782495,9.679384,0.0955087,5.918595,43.63612,5
X,2016-09-30,95.613314,166.150233,9.003949,0.08239426,6.311864,100.1325,6
X,2016-10-01,117.762399,158.612501,9.374686,0.08222983,4.393839,17.26256,5
X,2016-10-02,88.169447,115.505488,8.638433,0.08692042,6.681123,3.551603,10
X,2016-10-03,73.53003,129.274493,8.118509,0.1063682,3.086654,64.51413,13
X,2016-10-04,95.694852,113.107976,9.790631,0.09368877,6.550299,14.68568,6
X,2016-10-05,126.276421,123.501077,7.326238,0.0830737,3.429982,21.16001,11
X,2016-10-06,125.346558,128.803523,7.412188,0.1085159,3.407192,181.8117,6
X,2016-10-07,179.895095,95.177658,9.670537,0.0769649,8.187867,98.59146,4
X,2016-10-08,126.414872,137.086367,8.114724,0.09122934,7.844171,31.2055,6
X,2016-10-09,156.836576,167.603857,9.352719,0.09625356,6.11632,32.38009,3
X,2016-10-10,182.425181,165.204282,9.788958,0.08792717,7.401432,14.98698,10
X,2016-10-11,200.812166,183.807006,9.943572,0.09561425,4.129846,122.238,3
X,2016-10-12,92.146354,152.622872,7.320826,0.08923066,8.32227,38.71737,2
X,2016-10-13,111.853879,131.002697,6.641835,0.0824578,4.712898,30.10731,6
X,2016-10-14,135.34007,182.953631,8.107759,0.0822771,3.86311,90.96579,2
X,2016-10-15,131.479834,173.253816,8.550334,0.07876693,5.944124,37.66959,7
X,2016-10-16,151.687071,131.600923,8.320597,0.1027958,8.01009,14.66903,8
X,2016-10-17,98.006632,157.770817,9.489425,0.08265629,4.578933,71.30379,5
X,2016-10-18,172.626287,135.420458,9.127929,0.07469108,4.108933,11.25007,4
X,2016-10-19,167.58616,196.496705,9.523223,0.07219625,6.243242,8.335538,5
X,2016-10-20,139.186147,120.043834,7.14841,0.07876695,3.740354,75.59094,3
X,2016-10-21,131.45175,136.131515,8.91749,0.09104512,3.819053,38.48232,2
X,2016-10-22,72.019577,111.14527,8.599401,0.08517737,8.507514,123.6902,4
X,2016-10-23,137.511818,191.709181,10.06679,0.092903,4.366926,37.87553,5
X,2016-10-24,67.712262,182.850102,7.387507,0.07579433,4.630775,50.43011,6
X,2016-10-25,149.517745,157.682624,9.398531,0.0951825,8.485282,41.51128,5
X,2016-10-26,121.764076,135.902733,6.773293,0.09387723,4.766409,44.94979,5
X,2016-10-27,144.891593,135.710644,7.604063,0.07351231,4.208941,11.25063,2
X,2016-10-28,172.895985,118.13888,7.816605,0.07816381,3.977409,125.1599,4
X,2016-10-29,102.585061,136.301671,8.030916,0.0786088,8.57499,8.108794,4
X,2016-10-30,199.036977,145.245653,11.39974,0.0969967,6.023487,11.41433,4
X,2016-10-31,155.289037,208.414889,9.904688,0.09811624,5.876436,142.2848,8
X,2016-11-01,141.960772,119.538281,8.23911,0.07947189,3.744674,26.03438,1
X,2016-11-02,87.723755,186.696095,8.968807,0.1028033,4.480954,78.68597,5
X,2016-11-03,141.88022,138.390914,9.690591,0.09385962,5.138458,56.38557,6
X,2016-11-04,152.824243,137.066836,9.086778,0.09197358,6.128995,149.3216,5
X,2016-11-05,115.070208,146.683136,8.187878,0.08018401,3.233871,33.54545,2
X,2016-11-06,174.055649,200.345258,9.511828,0.08213223,4.291994,3.870563,6
X,2016-11-07,133.892003,150.328008,8.415425,0.1049786,4.797301,7.446216,7
X,2016-11-08,174.634425,133.043079,9.377889,0.07819157,4.647279,36.79894,7
X,2016-11-09,119.945273,126.543398,10.09523,0.1025856,7.738033,10.71992,5
X,2016-11-10,128.16776,217.229409,9.282384,0.07827128,8.632743,23.48972,8
X,2016-11-11,95.428656,120.859009,9.162009,0.08741094,8.695415,2.315628,7
X,2016-11-12,127.181966,208.829562,7.691071,0.08292406,3.456889,57.86034,7
X,2016-11-13,215.474951,150.245266,10.21595,0.08069416,6.754221,19.49987,5
X,2016-11-14,138.473209,144.03418,9.782631,0.09882565,8.06717,233.4154,2
X,2016-11-15,126.022027,115.799014,9.493054,0.09180259,4.799243,15.22801,5
X,2016-11-16,111.986538,175.762745,9.071345,0.07974153,6.304383,179.0562,4
X,2016-11-17,144.251477,116.150646,10.31726,0.09168106,5.669185,214.9521,7
X,2016-11-18,121.919221,178.945218,9.524967,0.09433738,7.804352,59.09071,6
X,2016-11-19,119.828256,117.666072,8.641975,0.1124901,4.301431,57.11482,6
X,2016-11-20,115.065027,89.37624,8.970641,0.08798683,3.366889,0.7830032,12
X,2016-11-21,146.264346,87.696841,10.29758,0.08726177,6.783204,23.36346,4
X,2016-11-22,100.585194,191.627084,9.600851,0.08163436,5.853564,22.4959,6
X,2016-11-23,144.318398,134.178487,9.25137,0.0993786,4.460198,93.05877,6
X,2016-11-24,42.523047,133.338622,7.519216,0.1064531,7.661777,102.3434,9
X,2016-11-25,117.693332,184.478212,9.838776,0.08782146,5.945212,26.87098,7
X,2016-11-26,168.420913,176.66533,8.286441,0.08464209,4.886885,22.81041,7
