location,Date,DDVEC,FHVEC,FG,FHX,FHXH,FHN,FHNH,FXX,FXXH,TG,TN,TNH,TX,TXH,T10N,T10NH,SQ,SP,Q,DR,RH,RHX,RHXH,PG,PX,PXH,PN,PNH,VVN,VVNH,VVX,VVXH,NG,UG,UX,UXH,UN,UNH,EV24
290,1951-02-15,199,26,31,62,4,0,20,,,33,2,23,50,9,,,,,,,,,,10130,10169,,10086,,,,,,7,,,,,,
290,1951-02-16,128,15,15,31,14,0,1,,,24,-16,6,57,15,,,,,,,,,,10150,10168,,10114,,,,,,6,,,,,,
290,1951-02-17,209,67,87,129,18,46,1,,,55,20,21,82,13,,,,,,,,,,10025,10104,,9923,,,,,,7,,,,,,
290,1951-02-18,219,93,98,123,14,67,1,,,35,12,1,58,20,,,,,,,,,,10029,10052,,10003,,,,,,5,,,,,,
290,1951-02-19,204,62,67,93,3,41,19,,,41,16,23,71,11,,,,,,,,,,9974,10019,,9935,,,,,,5,,,,,,
290,1951-02-20,201,67,67,93,10,41,2,,,51,18,2,86,13,,,,,,,,,,9963,10027,,9854,,,,,,6,,,,,,
290,1951-02-21,230,72,82,103,23,51,6,,,42,9,23,64,1,,,,,,,,,,9875,9929,,9832,,,,,,7,,,,,,
290,1951-02-22,218,67,67,123,2,41,16,,,38,9,24,85,14,,,,,,,,,,9988,10028,,9934,,,,,,6,,,,,,
290,1951-02-23,227,62,62,93,6,26,22,,,34,7,3,61,16,,,,,,,,,,10072,10107,,10031,,,,,,7,,,,,,
290,1951-02-24,190,15,21,31,3,0,22,,,35,3,7,69,14,,,,,,,,,,10092,10106,,10084,,,,,,4,,,,,,
290,1951-02-25,0,0,10,46,16,0,2,,,38,3,5,100,13,,,,,,,,,,10106,10126,,10092,,,,,,5,,,,,,
290,1951-02-26,280,15,15,51,14,0,2,,,24,-15,24,71,14,,,,,,,,,,10129,10135,,10122,,,,,,5,,,,,,
290,1951-02-27,0,0,5,15,7,0,1,,,8,-22,1,47,12,,,,,,,,,,10175,10227,,10136,,,,,,6,,,,,,
290,1951-02-28,0,0,5,15,11,0,1,,,-8,-39,24,26,15,,,,,,,,,,10269,10299,,10233,,,,,,4,,,,,,
290,1951-03-01,194,10,10,31,10,0,1,,,-4,-51,3,21,12,,,,,,,,,,10275,10299,,10240,,,,,,6,,,,,,
290,1951-03-02,72,26,26,67,13,0,1,,,1,-25,23,35,13,,,,,,,,,,10250,10281,,10231,,,,,,5,,,,,,
290,1951-03-03,70,31,31,51,17,10,22,,,-6,-37,6,41,15,,,,,,,,,,10298,10310,,10286,,,,,,2,,,,,,
290,1951-03-04,66,15,21,31,2,5,7,,,1,-48,6,66,15,,,,,,,,,,10265,10299,,10227,,,,,,1,,,,,,
290,1951-03-05,0,0,5,15,16,0,1,,,2,-58,7,73,15,,,,,,,,,,10188,10223,,10160,,,,,,1,,,,,,
290,1951-03-06,185,10,10,26,11,0,1,,,22,-29,5,84,16,,,,,,,,,,10126,10155,,10094,,,,,,1,,,,,,
290,1951-03-07,107,36,41,93,23,10,8,,,34,-23,6,117,15,,,,,,,,,,10059,10088,,10036,,,,,,0,,,,,,
290,1951-03-08,80,82,93,144,24,51,2,,,6,-13,4,25,14,,,,,,,,,,10019,10035,,10007,,,,,,7,,,,,,
290,1951-03-09,84,87,87,144,2,36,17,,,2,-21,9,17,16,,,,,,,,,,10015,10020,,10007,,,,,,8,,,,,,
290,1951-03-10,99,36,41,51,1,26,23,,,2,-20,6,22,24,,,,,,,,,,10012,10019,,9999,,,,,,8,,,,,,
290,1951-03-11,120,31,31,46,11,21,4,,,45,12,1,106,15,,,,,,,,,,9951,9997,,9895,,,,,,8,,,,,,
290,1951-03-12,224,51,62,103,13,10,24,,,58,29,1,101,16,,,,,,,,,,9949,9997,,9873,,,,,,7,,,,,,
290,1951-03-13,154,26,31,57,11,10,1,,,100,45,3,165,14,,,,,,,,,,9930,10000,,9864,,,,,,6,,,,,,
290,1951-03-14,200,123,129,165,10,72,1,,,76,51,13,97,1,,,,,,,,,,9924,9983,,9882,,,,,,6,,,,,,
290,1951-03-15,246,103,113,154,1,21,24,,,64,18,24,100,14,,,,,,,,,,10059,10130,,9988,,,,,,6,,,,,,
290,1951-03-16,188,15,21,36,9,0,17,,,72,5,5,134,15,,,,,,,,,,10115,10154,,10032,,,,,,4,,,,,,
290,1951-03-17,217,51,57,113,10,10,1,,,113,81,1,136,15,,,,,,,,,,9993,10021,,9965,,,,,,8,,,,,,
290,1951-03-18,217,118,118,180,13,51,1,,,93,57,22,125,4,,,,,,,,,,9959,9977,,9932,,,,,,7,,,,,,
290,1951-03-19,241,21,46,129,2,5,22,,,40,-12,24,75,1,,,,,,,,,,9997,10071,,9960,,,,,,6,,,,,,
290,1951-03-20,311,41,41,129,12,0,22,,,12,-20,24,55,14,,,,,,,,,,10144,10216,,10077,,,,,,3,,,,,,
290,1951-03-21,272,5,15,46,24,0,1,,,25,-32,5,82,15,,,,,,,,,,10273,10293,,10224,,,,,,3,,,,,,
290,1951-03-22,206,129,134,180,8,51,1,,,49,19,10,95,22,,,,,,,,,,10137,10248,,10046,,,,,,8,,,,,,
290,1951-03-23,234,149,149,185,2,51,23,,,75,22,23,93,4,,,,,,,,,,9992,10049,,9926,,,,,,8,,,,,,
290,1951-03-24,289,93,98,154,3,0,24,,,34,-1,23,69,12,,,,,,,,,,10029,10067,,9966,,,,,,7,,,,,,
290,1951-03-25,299,26,31,77,15,0,1,,,15,-14,7,55,13,,,,,,,,,,10106,10125,,10060,,,,,,5,,,,,,
290,1951-03-26,257,31,57,129,12,0,18,,,28,-1,4,61,12,,,,,,,,,,10039,10087,,9970,,,,,,7,,,,,,
290,1951-03-27,266,57,82,154,10,10,24,,,34,-17,22,76,2,,,,,,,,,,9982,10056,,9923,,,,,,6,,,,,,
290,1951-03-28,275,31,36,82,12,0,22,,,10,-15,24,45,16,,,,,,,,,,10052,10059,,10038,,,,,,6,,,,,,
290,1951-03-29,238,10,15,41,9,0,17,,,9,-18,2,63,13,,,,,,,,,,10051,10058,,10043,,,,,,4,,,,,,
290,1951-03-30,50,10,15,46,17,0,1,,,27,-29,5,88,13,,,,,,,,,,10050,10073,,10036,,,,,,5,,,,,,
290,1951-03-31,234,5,10,31,16,0,5,,,27,-3,5,65,15,,,,,,,,,,10086,10097,,10070,,,,,,6,,,,,,
290,1951-04-01,201,51,51,93,11,26,1,,,60,23,1,119,15,,,,,,,,,,10046,10069,,10015,,,,,,7,,,,,,
290,1951-04-02,219,62,67,113,3,31,23,,,62,21,23,93,14,,,,,,,,,,10069,10124,,10031,,,,,,6,,,,,,
290,1951-04-03,252,41,41,93,13,15,20,,,55,19,5,100,14,,,,,,,,,,10181,10216,,10125,,,,,,4,,,,,,
290,1951-04-04,206,77,77,144,14,21,24,,,68,26,5,119,12,,,,,,,,,,10160,10210,,10121,,,,,,5,,,,,,
290,1951-04-05,260,36,41,87,13,0,24,,,63,25,24,117,14,,,,,,,,,,10181,10195,,10160,,,,,,4,,,,,,
290,1951-04-06,182,21,21,62,24,0,1,,,78,28,2,120,22,,,,,,,,,,10120,10185,,10039,,,,,,7,,,,,,
290,1951-04-07,195,57,62,93,9,10,18,,,98,44,24,128,8,,,,,,,,,,9989,10031,,9971,,,,,,6,,,,,,
290,1951-04-08,203,77,77,103,4,31,21,,,50,31,5,77,15,,,,,,,,,,10009,10038,,9979,,,,,,4,,,,,,
290,1951-04-09,162,57,57,87,24,31,2,,,60,26,2,85,10,,,,,,,,,,9953,10034,,9902,,,,,,6,,,,,,
290,1951-04-10,259,82,98,139,20,51,2,,,49,32,6,59,9,,,,,,,,,,9971,10078,,9900,,,,,,8,,,,,,
290,1951-04-11,293,62,62,118,1,5,23,,,40,5,24,84,15,,,,,,,,,,10152,10194,,10088,,,,,,5,,,,,,
290,1951-04-12,206,67,67,118,23,10,1,,,64,-4,3,109,15,,,,,,,,,,10153,10191,,10103,,,,,,4,,,,,,
290,1951-04-13,220,72,77,129,11,21,20,,,75,35,24,123,12,,,,,,,,,,10072,10095,,10038,,,,,,7,,,,,,
290,1951-04-14,230,36,46,103,3,5,15,,,41,15,23,78,17,,,,,,,,,,10148,10224,,10081,,,,,,6,,,,,,
290,1951-04-15,230,36,41,93,14,5,6,,,59,-4,4,112,14,,,,,,,,,,10240,10257,,10208,,,,,,3,,,,,,
290,1951-04-16,239,67,72,139,11,21,22,,,80,36,5,147,14,,,,,,,,,,10159,10203,,10137,,,,,,6,,,,,,
290,1951-04-17,280,67,77,129,10,0,20,,,51,7,24,89,14,,,,,,,,,,10190,10221,,10136,,,,,,4,,,,,,
290,1951-04-18,121,10,10,36,8,0,1,,,79,-11,5,149,14,,,,,,,,,,10170,10222,,10120,,,,,,4,,,,,,
290,1951-04-19,33,31,36,67,24,0,1,,,80,9,24,126,13,,,,,,,,,,10175,10239,,10118,,,,,,4,,,,,,
290,1951-04-20,87,31,31,67,13,0,23,,,55,-10,5,132,12,,,,,,,,,,10205,10240,,10171,,,,,,4,,,,,,
290,1951-04-21,16,46,46,103,10,0,1,,,34,-14,2,82,12,,,,,,,,,,10208,10248,,10172,,,,,,2,,,,,,
290,1951-04-22,56,15,15,41,22,0,2,,,63,-25,3,147,16,,,,,,,,,,10260,10271,,10248,,,,,,1,,,,,,
290,1951-04-23,125,10,15,31,1,0,2,,,103,-3,4,189,14,,,,,,,,,,10254,10265,,10240,,,,,,2,,,,,,
290,1951-04-24,127,21,21,36,10,0,24,,,143,51,4,226,16,,,,,,,,,,10242,10257,,10225,,,,,,1,,,,,,
290,1951-04-25,97,10,10,36,11,0,1,,,174,80,5,265,15,,,,,,,,,,10183,10224,,10124,,,,,,0,,,,,,
290,1951-04-26,303,21,31,77,15,0,1,,,149,68,24,246,11,,,,,,,,,,10083,10117,,10057,,,,,,4,,,,,,
290,1951-04-27,4,41,46,82,8,21,1,,,73,48,24,102,12,,,,,,,,,,10113,10120,,10104,,,,,,8,,,,,,
290,1951-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,1951-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,1951-04-30,62,5,5,21,9,0,1,,,77,10,5,125,17,,,,,,,,,,10203,10210,,10196,,,,,,4,,,,,,
290,1951-05-01,133,21,21,51,10,0,1,,,105,22,4,172,15,,,,,,,,,,10189,10206,,10172,,,,,,2,,,,,,
290,1951-05-02,98,10,26,51,8,0,14,,,130,68,4,212,16,,,,,,,,,,10159,10173,,10146,,,,,,2,,,,,,
290,1951-05-03,62,15,21,36,18,0,1,,,142,57,3,216,14,,,,,,,,,,10139,10166,,10103,,,,,,2,,,,,,
290,1951-05-04,145,15,31,82,19,0,16,,,146,91,2,226,15,,,,,,,,,,10075,10100,,10048,,,,,,6,,,,,,
290,1951-05-05,217,36,41,82,13,0,21,,,127,92,24,169,13,,,,,,,,,,10107,10126,,10086,,,,,,5,,,,,,
290,1951-05-06,107,10,10,26,10,0,2,,,140,66,5,206,16,,,,,,,,,,10107,10123,,10089,,,,,,3,,,,,,
290,1951-05-07,19,36,41,72,14,0,1,,,121,87,24,163,11,,,,,,,,,,10072,10087,,10054,,,,,,7,,,,,,
290,1951-05-08,347,15,26,41,4,10,14,,,107,78,3,141,15,,,,,,,,,,10032,10057,,10018,,,,,,8,,,,,,
290,1951-05-09,280,26,31,51,7,0,20,,,104,84,4,135,14,,,,,,,,,,10107,10125,,10063,,,,,,8,,,,,,
290,1951-05-10,27,46,46,82,12,0,24,,,110,56,24,164,16,,,,,,,,,,10140,10165,,10122,,,,,,5,,,,,,
290,1951-05-11,24,26,26,51,16,0,2,,,100,46,2,160,14,,,,,,,,,,10189,10212,,10166,,,,,,2,,,,,,
290,1951-05-12,19,21,21,41,15,10,1,,,102,30,4,173,15,,,,,,,,,,10197,10216,,10171,,,,,,1,,,,,,
290,1951-05-13,309,26,31,51,13,5,6,,,82,17,5,137,11,,,,,,,,,,10133,10163,,10119,,,,,,5,,,,,,
290,1951-05-14,327,41,41,82,18,15,3,,,80,55,4,107,15,,,,,,,,,,10154,10184,,10130,,,,,,8,,,,,,
290,1951-05-15,311,41,46,82,17,10,24,,,83,51,4,125,11,,,,,,,,,,10154,10179,,10135,,,,,,7,,,,,,
290,1951-05-16,337,26,31,62,15,10,1,,,77,49,23,114,15,,,,,,,,,,10123,10136,,10114,,,,,,6,,,,,,
290,1951-05-17,50,36,36,72,13,5,1,,,101,25,4,158,15,,,,,,,,,,10161,10186,,10134,,,,,,3,,,,,,
290,1951-05-18,57,46,46,82,14,21,1,,,133,72,5,196,14,,,,,,,,,,10167,10186,,10150,,,,,,4,,,,,,
290,1951-05-19,81,31,31,46,13,15,1,,,164,83,4,240,15,,,,,,,,,,10117,10148,,10094,,,,,,2,,,,,,
290,1951-05-20,25,10,15,51,22,0,2,,,171,97,4,242,14,,,,,,,,,,10086,10100,,10071,,,,,,3,,,,,,
290,1951-05-21,251,21,26,82,8,0,15,,,114,95,24,127,6,,,,,,,,,,10112,10127,,10088,,,,,,7,,,,,,
290,1951-05-22,131,5,10,36,10,0,1,,,118,65,5,172,13,,,,,,,,,,10130,10156,,10111,,,,,,4,,,,,,
290,1951-05-23,244,21,26,67,11,0,2,,,135,89,4,190,15,,,,,,,,,,10166,10188,,10152,,,,,,6,,,,,,
290,1951-05-24,74,21,21,46,13,0,1,,,148,73,4,217,14,,,,,,,,,,10178,10196,,10150,,,,,,5,,,,,,
290,1951-05-25,86,5,15,31,5,0,2,,,149,106,3,198,10,,,,,,,,,,10140,10164,,10130,,,,,,7,,,,,,
290,1951-05-26,77,21,36,62,22,10,4,,,149,101,5,213,15,,,,,,,,,,10076,10130,,10020,,,,,,7,,,,,,
290,1951-05-27,196,21,26,62,4,0,23,,,138,103,24,161,17,,,,,,,,,,10037,10049,,10020,,,,,,7,,,,,,
290,1951-05-28,281,26,36,77,13,0,4,,,114,77,24,152,12,,,,,,,,,,10064,10121,,10028,,,,,,8,,,,,,
290,1951-05-29,33,26,26,62,8,5,5,,,103,56,24,151,16,,,,,,,,,,10170,10201,,10126,,,,,,5,,,,,,
290,1951-05-30,74,41,41,82,12,10,1,,,101,39,4,149,13,,,,,,,,,,10217,10233,,10203,,,,,,2,,,,,,
290,1951-05-31,80,46,46,82,12,15,22,,,127,43,3,191,16,,,,,,,,,,10218,10234,,10200,,,,,,1,,,,,,
290,1951-06-01,81,36,41,72,12,21,20,,,153,67,4,220,16,,,,,,,,,,10170,10199,,10140,,,,,,1,,,,,,
290,1951-06-02,76,15,15,31,10,0,20,,,169,87,4,232,13,,,,,,,,,,10115,10135,,10100,,,,,,4,,,,,,
290,1951-06-03,5,26,26,72,16,0,1,,,145,108,24,198,14,,,,,,,,,,10135,10158,,10112,,,,,,7,,,,,,
290,1951-06-04,2,36,36,62,14,10,4,,,144,87,23,211,14,,,,,,,,,,10156,10163,,10148,,,,,,7,,,,,,
290,1951-06-05,347,41,41,72,16,0,24,,,153,81,4,227,16,,,,,,,,,,10141,10157,,10122,,,,,,5,,,,,,
290,1951-06-06,2,41,41,93,17,0,1,,,146,69,24,215,14,,,,,,,,,,10137,10154,,10126,,,,,,1,,,,,,
290,1951-06-07,1,36,36,62,11,0,1,,,118,51,4,181,17,,,,,,,,,,10142,10155,,10129,,,,,,2,,,,,,
290,1951-06-08,58,41,41,82,14,21,21,,,145,66,4,215,16,,,,,,,,,,10096,10131,,10073,,,,,,4,,,,,,
290,1951-06-09,96,15,26,51,9,0,20,,,166,82,4,229,18,,,,,,,,,,10085,10093,,10076,,,,,,3,,,,,,
290,1951-06-10,239,36,41,82,13,15,19,,,137,105,24,172,13,,,,,,,,,,10111,10154,,10086,,,,,,7,,,,,,
290,1951-06-11,222,21,26,41,2,0,24,,,156,101,3,209,15,,,,,,,,,,10197,10210,,10157,,,,,,4,,,,,,
290,1951-06-12,199,41,51,93,21,0,1,,,167,113,3,219,10,,,,,,,,,,10162,10201,,10132,,,,,,5,,,,,,
290,1951-06-13,232,67,67,103,5,10,21,,,157,131,1,197,15,,,,,,,,,,10201,10222,,10162,,,,,,7,,,,,,
290,1951-06-14,207,46,51,82,11,10,23,,,202,144,2,264,16,,,,,,,,,,10198,10215,,10182,,,,,,3,,,,,,
290,1951-06-15,286,10,21,51,17,0,22,,,173,115,24,231,10,,,,,,,,,,10193,10219,,10178,,,,,,5,,,,,,
290,1951-06-16,155,5,10,31,15,0,1,,,170,85,4,234,15,,,,,,,,,,10215,10229,,10192,,,,,,2,,,,,,
290,1951-06-17,245,5,21,51,15,0,17,,,177,129,24,239,15,,,,,,,,,,10160,10186,,10146,,,,,,5,,,,,,
290,1951-06-18,256,15,15,51,17,0,22,,,150,109,24,198,13,,,,,,,,,,10168,10183,,10156,,,,,,6,,,,,,
290,1951-06-19,257,31,36,93,14,0,1,,,140,87,4,195,13,,,,,,,,,,10204,10233,,10183,,,,,,3,,,,,,
290,1951-06-20,220,10,15,31,7,0,1,,,152,63,4,219,18,,,,,,,,,,10243,10251,,10235,,,,,,1,,,,,,
290,1951-06-21,102,21,21,51,15,0,1,,,193,108,4,259,14,,,,,,,,,,10204,10244,,10160,,,,,,3,,,,,,
290,1951-06-22,144,15,26,93,17,0,23,,,180,153,3,231,16,,,,,,,,,,10111,10156,,10088,,,,,,7,,,,,,
290,1951-06-23,173,31,36,93,14,0,1,,,183,141,24,233,14,,,,,,,,,,10048,10086,,10035,,,,,,6,,,,,,
290,1951-06-24,237,51,57,93,11,0,1,,,148,128,12,180,16,,,,,,,,,,10053,10074,,10024,,,,,,7,,,,,,
290,1951-06-25,220,46,51,82,7,15,17,,,152,123,23,185,12,,,,,,,,,,10090,10107,,10067,,,,,,7,,,,,,
290,1951-06-26,218,57,62,103,13,21,1,,,131,101,23,167,14,,,,,,,,,,10107,10120,,10092,,,,,,7,,,,,,
290,1951-06-27,247,51,51,77,18,31,6,,,123,104,2,147,13,,,,,,,,,,10139,10165,,10101,,,,,,8,,,,,,
290,1951-06-28,256,31,36,72,12,10,23,,,131,103,24,157,11,,,,,,,,,,10172,10193,,10159,,,,,,8,,,,,,
290,1951-06-29,289,26,31,62,14,10,21,,,126,96,4,158,14,,,,,,,,,,10220,10252,,10193,,,,,,7,,,,,,
290,1951-06-30,332,21,21,41,11,0,1,,,127,85,24,163,15,,,,,,,,,,10265,10277,,10250,,,,,,6,,,,,,
290,1951-07-01,324,5,10,31,16,0,1,,,145,63,4,215,17,,,,,,,,,,10268,10281,,10253,,,,,,3,,,,,,
290,1951-07-02,251,26,31,62,16,0,1,,,175,98,3,241,14,,,,,,,,,,10228,10250,,10212,,,,,,3,,,,,,
290,1951-07-03,249,41,46,93,14,10,1,,,181,133,2,234,13,,,,,,,,,,10175,10208,,10149,,,,,,7,,,,,,
290,1951-07-04,333,15,26,62,11,0,1,,,138,102,24,196,11,,,,,,,,,,10123,10154,,10091,,,,,,8,,,,,,
290,1951-07-05,328,31,31,62,8,0,21,,,121,79,23,164,17,,,,,,,,,,10192,10207,,10156,,,,,,6,,,,,,
290,1951-07-06,218,41,46,93,13,10,1,,,150,70,2,197,13,,,,,,,,,,10172,10197,,10158,,,,,,7,,,,,,
290,1951-07-07,218,51,57,113,13,0,21,,,184,137,24,235,15,,,,,,,,,,10163,10172,,10151,,,,,,4,,,,,,
290,1951-07-08,226,15,21,51,10,0,1,,,190,118,4,255,15,,,,,,,,,,10111,10149,,10069,,,,,,6,,,,,,
290,1951-07-09,234,36,36,82,13,0,1,,,179,155,24,211,13,,,,,,,,,,10099,10125,,10067,,,,,,6,,,,,,
290,1951-07-10,197,41,51,82,10,10,24,,,202,151,1,243,13,,,,,,,,,,10109,10120,,10102,,,,,,6,,,,,,
290,1951-07-11,208,15,26,72,15,0,9,,,207,162,24,255,14,,,,,,,,,,10096,10114,,10075,,,,,,6,,,,,,
290,1951-07-12,207,51,57,98,11,0,22,,,177,146,4,214,15,,,,,,,,,,10158,10175,,10116,,,,,,5,,,,,,
290,1951-07-13,228,36,51,103,9,0,21,,,169,112,23,212,14,,,,,,,,,,10165,10191,,10146,,,,,,5,,,,,,
290,1951-07-14,22,21,26,51,19,0,1,,,154,93,4,208,15,,,,,,,,,,10187,10199,,10173,,,,,,6,,,,,,
290,1951-07-15,3,31,31,62,11,0,22,,,120,109,11,136,19,,,,,,,,,,10197,10225,,10171,,,,,,8,,,,,,
290,1951-07-16,335,26,26,62,16,0,22,,,150,94,4,202,16,,,,,,,,,,10244,10260,,10227,,,,,,4,,,,,,
290,1951-07-17,287,31,31,62,9,0,1,,,175,103,4,237,14,,,,,,,,,,10242,10256,,10227,,,,,,3,,,,,,
290,1951-07-18,286,36,41,82,18,0,2,,,150,101,23,202,10,,,,,,,,,,10217,10245,,10202,,,,,,6,,,,,,
290,1951-07-19,292,21,21,41,12,0,19,,,151,90,4,201,15,,,,,,,,,,10226,10248,,10191,,,,,,6,,,,,,
290,1951-07-20,301,46,46,93,16,10,3,,,169,115,21,214,13,,,,,,,,,,10199,10226,,10180,,,,,,7,,,,,,
290,1951-07-21,317,15,21,41,11,0,4,,,153,105,4,209,16,,,,,,,,,,10234,10249,,10221,,,,,,4,,,,,,
290,1951-07-22,103,21,21,36,12,0,24,,,185,101,1,251,15,,,,,,,,,,10147,10219,,10080,,,,,,3,,,,,,
290,1951-07-23,212,26,26,62,8,0,1,,,182,153,22,221,12,,,,,,,,,,10080,10096,,10072,,,,,,7,,,,,,
